title,release_year,release_date,genres,runtime,overview,director,writers,main_actors,budget,revenue,keywords,production_company,popularity,adult
The Expendables 2,2012,2012-08-08,"['Action', 'Adventure', 'Thriller']",103,"Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.",Simon West,"Sylvester Stallone, Richard Wenk","Sylvester Stallone, Jason Statham, Jet Li",100000000,314975955,"airplane, loss of loved one, mercenary, airplane crash, beard, wisecrack humor, airport lounge, asian woman",Nu Image,8.2278,False
Taken 2,2012,2012-09-27,"['Action', 'Crime', 'Thriller']",91,"In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.",Olivier Megaton,"Robert Mark Kamen, Luc Besson, Robert Mark Kamen, Luc Besson","Liam Neeson, Maggie Grace, Famke Janssen",45000000,376100000,"kidnapping, fbi, turkey, police chase, teenage daughter, stealing a car, ex-husband ex-wife relationship, albanian, u.s. embassy, aggressive, furious",EuropaCorp,8.1709,False
The Dictator,2012,2012-05-15,['Comedy'],83,The heroic story of a dictator who risks his life to ensure that democracy would never come to the country he so lovingly oppressed.,Larry Charles,"Sacha Baron Cohen, Alec Berg, David Mandel, Jeff Schaffer","Sacha Baron Cohen, Ben Kingsley, Anna Faris",65000000,179379533,"petrol, culture clash, dictator, coup d'etat, satire, parody, uncle, conspiracy, female soldier, united nations, weapon of mass destruction, dissident, grocery store, identity swap, ironic, hilarious",Paramount Pictures,7.5409,False
Wrath of the Titans,2012,2012-03-28,"['Fantasy', 'Adventure', 'Action']",99,"Perseus tries to live a quieter life as a village fisherman while – dangerously weakened by humanity's lack of devotion – the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",Jonathan Liebesman,"David Leslie Johnson-McGoldrick, Dan Mazeau","Sam Worthington, Liam Neeson, Ralph Fiennes",150000000,301970083,"hades, mythology, greek mythology, zeus, god, perseus, ancient greece, ares, based on myths, legends or folklore",Thunder Road,7.2847,False
Men in Black 3,2012,2012-05-23,"['Action', 'Comedy', 'Science Fiction']",106,"Agents J and K are back...in time. J has seen some inexplicable things in his 15 years with the Men in Black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. But when K's life and the fate of the planet are put at stake, Agent J will have to travel back in time to put things right. J discovers that there are secrets to the universe that K never told him - secrets that will reveal themselves as he teams up with the young Agent K to save his partner, the agency, and the future of humankind.",Barry Sonnenfeld,Etan Cohen,"Will Smith, Tommy Lee Jones, Josh Brolin",225000000,624000000,"time travel, time machine, based on comic, alien, buddy cop, fictional government agency, seeing the future, changing history, suspenseful",Columbia Pictures,7.1534,False
American Reunion,2012,2012-04-04,['Comedy'],113,"The characters we met a little more than a decade ago return to East Great Falls for their high school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.","Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Seann William Scott",50000000,234989584,"husband wife relationship, sequel, family reunion, masturbation, scat, high school reunion, nostalgic, quitting a job, milf, duringcreditsstinger, amused",Universal Pictures,6.9416,False
American Reunion,2012,2012-04-04,['Comedy'],113,"The characters we met a little more than a decade ago return to East Great Falls for their high school reunion. In one long-overdue weekend, they will discover what has changed, who hasn’t, and that time and distance can’t break the bonds of friendship.","Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg","Jason Biggs, Alyson Hannigan, Seann William Scott",50000000,234989584,"husband wife relationship, sequel, family reunion, masturbation, scat, high school reunion, nostalgic, quitting a job, milf, duringcreditsstinger, amused",Universal Pictures,6.9416,False
Sinister,2012,2012-03-29,"['Horror', 'Thriller', 'Mystery']",110,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",Scott Derrickson,"C. Robert Cargill, Scott Derrickson","Ethan Hawke, Juliet Rylance, Vincent D'Onofrio",3000000,82515113,"drowning, pennsylvania, usa, writing, child murder, snuff, tape, home movie footage, murder, massacre, power outage, held captive, hanging, death, car fire, novelist, attic, occult, super 8mm footage, macabre, moving in, book writing, supernatural horror",Automatik Entertainment,6.4695,False
Sinister,2012,2012-03-29,"['Horror', 'Thriller', 'Mystery']",110,"True-crime writer Ellison Oswald is in a slump; he hasn't had a best seller in more than 10 years and is becoming increasingly desperate for a hit. So, when he discovers the existence of a snuff film showing the deaths of a family, he vows to solve the mystery. He moves his own family into the victims' home and gets to work. However, when old film footage and other clues hint at the presence of a supernatural force, Ellison learns that living in the house may be fatal.",Scott Derrickson,"C. Robert Cargill, Scott Derrickson","Ethan Hawke, Juliet Rylance, Vincent D'Onofrio",3000000,82515113,"drowning, pennsylvania, usa, writing, child murder, snuff, tape, home movie footage, murder, massacre, power outage, held captive, hanging, death, car fire, novelist, attic, occult, super 8mm footage, macabre, moving in, book writing, supernatural horror",Automatik Entertainment,6.4695,False
Pitch Perfect,2012,2012-09-28,"['Comedy', 'Music', 'Romance']",112,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",Jason Moore,Kay Cannon,"Anna Kendrick, Brittany Snow, Anna Camp",17000000,115647426,"competition, roommates, college, female friendship, misfit, hazing, university, audition, group of friends, dorm room, bickering, dj, singing competition, film score, young adult, acapella",Brownstone Productions,6.6011,False
Pitch Perfect,2012,2012-09-28,"['Comedy', 'Music', 'Romance']",112,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",Jason Moore,Kay Cannon,"Anna Kendrick, Brittany Snow, Anna Camp",17000000,115647426,"competition, roommates, college, female friendship, misfit, hazing, university, audition, group of friends, dorm room, bickering, dj, singing competition, film score, young adult, acapella",Brownstone Productions,6.6011,False
Chronicle,2012,2012-02-01,"['Science Fiction', 'Drama', 'Thriller']",84,"Three high school students make an incredible discovery, leading to their developing uncanny powers beyond their understanding. As they learn to control their abilities and use them to their advantage, their lives start to spin out of control, and their darker sides begin to take over.",Josh Trank,"Max Landis, Josh Trank","Dane DeHaan, Alex Russell, Michael B. Jordan",15000000,145000000,"friendship, flying, seattle, washington, telekinesis, coming of age, outcast, loneliness, super power, found footage, aftercreditsstinger, abuse, teenager, 超能失控",Dune Entertainment,6.577,False
Total Recall,2012,2012-08-02,"['Action', 'Science Fiction', 'Thriller']",118,"Factory worker Doug Quaid takes a virtual mind-trip vacation with the Rekall company, opting for implanted memories of being a spy. When the procedure goes wrong, Quaid becomes a wanted man by the police and joins forces with a rebel fighter to stop the evil Chancellor Cohaagen.",Len Wiseman,"Mark Bomback, Kurt Wimmer","Colin Farrell, Jessica Biel, Kate Beckinsale",125000000,198800000,"dystopia, secret agent, remake, machine gun, resistance fighter, false memory, robot cop, suppression, rebel hero, safe deposit box, british colonialism, smog, gatling gun, center of the earth, implanted memory",Total Recall,6.3436,False
The Lucky One,2012,2012-04-19,"['Drama', 'Romance']",101,A Marine travels to Louisiana after serving three tours in Iraq and searches for the unknown woman he believes was his good luck charm during the war.,Scott Hicks,Will Fetters,"Zac Efron, Taylor Schilling, Blythe Danner",25000000,99400000,"husband wife relationship, based on novel or book, iraq war veteran, photo, kennel, playing chess, bomb explosion",Di Novi Pictures,5.8031,False
Dredd,2012,2012-09-07,"['Action', 'Science Fiction']",95,"In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",Pete Travis,Alex Garland,"Karl Urban, Olivia Thirlby, Lena Headey",50000000,41037742,"metropolis, corruption, police, judge, gangster, crime fighter, dystopia, post-apocalyptic future, executive case, based on comic, futuristic, survival, cyberpunk, criminal, justice, drug lord, based on graphic novel, female villain",Rena Film,5.6721,False
That's My Boy,2012,2012-06-14,"['Comedy', 'Drama']",116,"While in his teens, Donny fathered a son, Todd, and raised him as a single parent up until Todd's 18th birthday. Now, after not seeing each other for years, Todd's world comes crashing down when Donny resurfaces just before Todd's wedding.",Sean Anders,David Caspe,"Adam Sandler, Andy Samberg, Leighton Meester",70000000,58100000,"talk show, older woman seduces younger guy, women's prison, strip club, drinking, prison sentence, single father, teacher student relationship, troubled childhood, tax evasion, estranged son, 1980s, unplanned pregnancy, father son conflict, imminent wedding",Relativity Media,6.3119,False
John Carter,2012,2012-03-07,"['Action', 'Adventure', 'Science Fiction']",132,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",Andrew Stanton,"Mark Andrews, Michael Chabon, Andrew Stanton","Taylor Kitsch, Lynn Collins, Samantha Morton",250000000,284100000,"princess, medallion, planet mars, based on novel or book, escape, space travel, alien, martian, steampunk, alien race, superhuman strength, martian civilization, sword and planet, 19th century, 異星爭霸戰：尊卡特傳奇",Walt Disney Pictures,6.1166,False
Argo,2012,2012-10-11,"['Drama', 'Thriller']",120,"As the Iranian revolution reaches a boiling point, a CIA 'exfiltration' specialist concocts a risky plan to free six Americans who have found shelter at the home of the Canadian ambassador.",Ben Affleck,Chris Terrio,"Ben Affleck, Bryan Cranston, Alan Arkin",44500000,232300000,"central intelligence agency (cia), husband wife relationship, revolution, press conference, biography, american abroad, extraction, iran hostage crisis, intelligence agent, langley virginia, 1980s, political thriller, factual",GK Films,5.9039,False
Flight,2012,2012-11-02,['Drama'],138,"Commercial airline pilot Whip Whitaker has a problem with drugs and alcohol, though so far he's managed to complete his flights safely. His luck runs out when a disastrous mechanical malfunction sends his plane hurtling toward the ground. Whip pulls off a miraculous crash-landing that results in only six lives lost. Shaken to the core, Whip vows to get sober -- but when the crash investigation exposes his addiction, he finds himself in an even worse situation.",Robert Zemeckis,John Gatins,"Denzel Washington, Don Cheadle, Kelly Reilly",31000000,161772575,"airplane, confession, investigation, pilot, emergency landing, flight, alcoholism, f word, hangover, airplane accident, airplane crash, syringe, denial, baseball stadium, perjury, national transportation safety board, flying upside down, narcissist, relapse, substance abuse, hard, cautionary, inspirational, dramatic",Paramount Pictures,5.609,False
The Vow,2012,2012-02-05,"['Drama', 'Romance']",104,"Happy young married couple Paige and Leo are, well, happy. Then a car accident puts Paige into a life-threatening coma. Upon awakening she has lost the previous five years of memories, including those of her beloved Leo, her wedding, a confusing relationship with her parents, or the ending of her relationship with her ex-fiance. Despite these complications, Leo endeavors to win her heart again and rebuild their marriage.",Michael Sucsy,"Marc Silverstein, Abby Kohn, Jason Katims","Rachel McAdams, Channing Tatum, Sam Neill",30000000,196114570,"amnesia, coma, based on true story, romance, memory loss, car accident, valentine's day",Spyglass Entertainment,5.543,False
Silent Hill: Revelation 3D,2012,2012-10-10,"['Thriller', 'Horror', 'Mystery']",94,"Heather Mason and her father have been on the run, always one step ahead of dangerous forces that she doesn't fully understand, Now on the eve of her 18th birthday, plagued by horrific nightmares and the disappearance of her father, Heather discovers she's not who she thinks she is. The revelation leads her deeper into a demonic world that threatens to trap her forever.",M.J. Bassett,M.J. Bassett,"Adelaide Clemens, Sean Bean, Radha Mitchell",20000000,55362705,"female protagonist, another dimension, based on video game, occult, mall, dark carnival, occult torture, aftercreditsstinger",Konami,5.2563,False
Zero Dark Thirty,2012,2012-12-19,"['Thriller', 'Drama']",157,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L. Team 6 in May, 2011.",Kathryn Bigelow,Mark Boal,"Jessica Chastain, Jason Clarke, Kyle Chandler",40000000,132800000,"hotel, van, mossad, central intelligence agency (cia), assassination, prisoner, car dealer, iraq, pakistan, f word, man hunt, u.s. navy seal, female protagonist, gunfight, terrorism, raid, text message, monkey, dog, special forces, tied up, military, area 51, terrorist group, torturing, woman director, al qaeda, prison camp, suicide bombing, political thriller, ex special forces, post 9/11, helicopter crash, islamabad",Annapurna Pictures,5.4968,False
